Fishery,District,RACE_Code,Sex,Size_Grp,Sampfrac_Num_Crab
KS18,KSH,68560,1,66,1
KS18,KSH,68560,1,68,1
KS18,KSH,68560,1,69,1
KS18,KSH,68560,1,70,1
KS18,KSH,68560,1,70,1
KS18,KSH,68560,1,71,2.2
KS18,KSH,68560,1,71,1
KS18,KSH,68560,1,71,1
KS18,KSH,68560,1,72,1
KS18,KSH,68560,1,75,1
KS18,KSH,68560,1,75,1
KS18,KSH,68560,1,75,2.2
KS18,KSH,68560,1,76,1
KS18,KSH,68560,1,77,1
KS18,KSH,68560,1,80,1
KS18,KSH,68560,1,82,1
KS18,KSH,68560,1,82,2.2
KS18,KSH,68560,1,83,1
KS18,KSH,68560,1,90,1
KS18,KSH,68560,1,94,1
KS18,KSH,68560,1,94,1
KS18,KSH,68560,1,104,1
KS18,KSH,68560,1,104,1
KS18,KSH,68560,1,111,1
KS18,KSH,68560,1,117,1
KS18,KSH,68560,1,120,1
KS18,KSH,68560,1,154,1
KS18,KSH,68560,2,19,1
KS18,KSH,68560,2,20,1
KS18,KSH,68560,2,20,1
KS18,KSH,68560,2,21,1
KS18,KSH,68560,2,21,1
KS18,KSH,68560,2,23,1
KS18,KSH,68560,2,24,1
KS18,KSH,68560,2,24,1
KS18,KSH,68560,2,24,1
KS18,KSH,68560,2,24,1
KS18,KSH,68560,2,24,1
KS18,KSH,68560,2,24,1
KS18,KSH,68560,2,25,1
KS18,KSH,68560,2,25,1
KS18,KSH,68560,2,25,1
KS18,KSH,68560,2,25,1
KS18,KSH,68560,2,26,2.2
KS18,KSH,68560,2,26,2.2
KS18,KSH,68560,2,27,2.2
KS18,KSH,68560,2,28,1
KS18,KSH,68560,2,28,1
KS18,KSH,68560,2,28,1
KS18,KSH,68560,2,28,1
KS18,KSH,68560,2,30,2.2
KS18,KSH,68560,2,33,1
KS18,KSH,68560,2,34,2.2
KS18,KSH,68560,2,36,1
KS18,KSH,68560,2,36,1
KS18,KSH,68560,2,36,1
KS18,KSH,68560,2,37,1
